Дата,Доллар США,Евро,Фунт стерлингов,Китайский юань,Японская йена,value_RUB,value_USD,value_EUR,value_GBP,value_JPY,value_CNY
2017-06-30,59.0855,67.4993,76.7343,87.1712,52.4855,9.0,1.16167,-0.42829,0.30669,-0.0205,2.618
2017-06-29,59.5415,67.6868,76.3322,87.5739,53.1763,9.0,1.17333,-0.42757,0.30669,-0.014,2.539
2017-06-28,58.8843,65.9563,75.0363,86.4649,52.7874,9.0,1.17667,-0.42614,0.29994,-0.01357,2.5596
2017-06-27,59.0014,66.0816,75.1206,86.2871,52.8473,9.0,1.17611,-0.43043,0.30025,-0.02536,2.626
2017-06-23,60.1482,67.1495,76.1536,88.0518,54.1802,9.0,1.17667,-0.43043,0.303,-0.03207,2.81
2017-06-22,60.0,66.798,75.636,87.858,53.9714,9.0,1.17722,-0.42757,0.29956,-0.0225,2.869
2017-06-21,58.5786,65.321,74.2894,85.8081,52.4968,9.0,1.17722,-0.43043,0.28606,-0.02,2.889
2017-06-20,57.9585,64.8614,74.1811,85.018,52.1843,9.0,1.17611,-0.42471,0.28706,-0.03064,2.8776
2017-06-16,57.4437,64.2795,73.0109,84.5071,52.4145,9.25,1.17722,-0.42471,0.29556,-0.0375,2.8528
2017-06-15,57.0303,63.9481,72.7307,83.9026,51.7446,9.25,1.175,-0.42471,0.28869,-0.03821,2.8317
2017-06-14,56.9096,63.7729,72.3093,83.7115,51.6562,9.25,0.93111,-0.42471,0.28994,-0.03821,2.825
2017-09-06,56.9857,64.1488,73.8991,83.8802,51.8948,9.25,0.93111,-0.43043,0.28994,-0.03786,2.8275
2017-08-06,56.5878,63.7179,72.9587,83.2908,51.8227,9.25,0.93056,-0.43043,0.28994,-0.03214,2.8199
2017-07-06,56.6747,63.7817,73.2237,83.3893,51.6893,9.25,0.93111,-0.42971,0.29019,-0.02257,2.809
2017-06-06,56.6152,63.811,72.9204,83.2442,51.2239,9.25,0.93056,-0.43043,0.29094,-0.01757,2.8419
2017-02-06,56.5373,63.531,72.7974,83.0747,50.8749,9.25,0.93111,-0.43,0.29163,-0.02229,2.7953
2017-01-06,56.6876,63.4107,72.5771,83.1038,51.1367,9.25,0.93111,-0.43,0.29256,-0.02314,2.6525
2017-05-31,56.5168,62.9484,72.6636,82.4389,50.9229,9.25,0.92889,-0.42714,0.29381,-0.03243,2.6365
2017-05-30,56.7106,63.3684,72.7937,82.7216,50.9278,9.25,0.93111,-0.43,0.2965,-0.0285,2.631
2017-05-26,56.0701,63.0116,72.9528,81.6468,50.1679,9.25,0.93,-0.43,0.29963,-0.01629,2.609
2017-05-25,56.2743,62.9203,73.0834,81.667,50.2966,9.25,0.93,-0.42429,0.30244,-0.01457,2.611
2017-05-24,56.5552,63.6189,73.4426,82.0854,50.8201,9.25,0.93056,-0.42643,0.30244,-0.016,2.623
2017-05-23,56.4988,63.1713,73.3467,81.9738,50.7193,9.25,0.93056,-0.42571,0.30431,-0.01171,2.654
2017-05-19,57.4683,63.9967,74.6111,83.4059,51.8129,9.25,0.92889,-0.42714,0.30431,-0.0195,2.715
2017-05-18,56.7383,62.9568,73.391,82.3332,50.4408,9.25,0.92778,-0.42643,0.30681,-0.017,2.7641
2017-05-17,56.2603,62.0382,72.8233,81.6538,49.5576,9.25,0.92833,-0.42714,0.31119,-0.01807,2.7525
2017-05-16,56.5258,61.8449,73.0596,81.9488,49.7433,9.25,0.92833,-0.42714,0.31244,-0.01229,2.746
2017-12-05,57.1161,62.1595,73.8968,82.729,50.0075,9.25,0.92833,-0.42571,0.314,-0.01821,2.7911
2017-11-05,58.0824,63.2634,75.4084,84.1347,51.0233,9.25,0.92833,-0.42214,0.31463,-0.01571,2.813
2017-05-05,57.5714,62.7298,74.1692,83.4755,51.0317,9.25,0.92778,-0.42571,0.32119,-0.01886,2.8348
2017-04-05,57.0927,62.3224,73.8323,82.8415,50.9052,9.25,0.92778,-0.42571,0.32306,-0.02786,2.8506
2017-03-05,56.9518,62.1515,73.3767,82.5759,50.7977,9.25,0.92722,-0.42571,0.32181,-0.021,2.8451
2017-04-28,56.9707,62.1664,73.458,82.6597,51.1659,9.75,0.92944,-0.42429,0.32525,-0.02121,2.819
2017-04-27,56.3131,61.5052,72.1258,81.7233,50.6231,9.75,0.93056,-0.42429,0.324,-0.01364,2.792
2017-04-26,55.8453,60.7932,71.549,81.1009,50.5914,9.75,0.93028,-0.42429,0.3245,-0.01579,2.759
2017-04-25,56.0794,60.8461,71.8994,81.4386,50.9142,9.75,0.92833,-0.42143,0.32875,-0.01507,2.7514
2017-04-21,56.4165,60.6139,72.3993,81.9567,51.7654,9.75,0.92944,-0.42429,0.33525,-0.01157,2.6163
2017-04-20,56.1753,60.2649,71.9886,81.5648,51.5606,9.75,0.92944,-0.42429,0.33588,-0.02271,2.5987
2017-04-19,55.9793,59.6124,70.4947,81.305,51.4256,9.75,0.93,-0.42429,0.33681,-0.01786,2.575
2017-04-18,56.2505,59.8393,70.4931,81.6704,51.9084,9.75,0.93,-0.42357,0.33556,-0.01714,2.486
2017-04-14,56.6019,60.2867,71.0467,82.2367,51.9355,9.75,0.926888,-0.424146,0.33856,-0.022572,2.429
2017-04-13,56.7556,60.2631,70.9502,82.3452,51.73,9.75,0.92611,-0.42429,0.33931,-0.02393,2.413
2017-12-04,56.9552,60.3042,70.7384,82.5091,51.4849,9.75,0.92778,-0.424,0.33881,-0.02171,2.3885
2017-11-04,57.3896,60.7469,71.1746,83.1071,51.5445,9.75,0.92722,-0.424,0.33975,-0.00771,2.408
2017-07-04,56.4369,60.0827,70.3655,81.7879,51.0072,9.75,0.93056,-0.42043,0.33844,-0.00029,2.4957
2017-06-04,55.894,59.6948,69.4986,81.0504,50.4983,9.75,0.93,-0.42043,0.33881,-0.00029,2.537
2017-05-04,56.5553,60.2427,70.3548,82.1177,51.2021,9.75,0.93111,-0.424,0.33619,0.014,2.4868
